,precision,recall,f1-score,support
acuity_1,0.6576521204671174,0.6906196213425129,0.6737328156154896,4648.0
acuity_2,0.6648646738746379,0.6684784539415255,0.6666666666666666,28149.0
acuity_3,0.7658232267976443,0.7247912581789342,0.7447425014148273,45391.0
acuity_4,0.41471069868995636,0.5773176291793313,0.4826874205844981,5264.0
acuity_5,0.24666666666666667,0.22023809523809523,0.23270440251572327,168.0
accuracy,0.6936378856732839,0.6936378856732839,0.6936378856732839,0.6936378856732839
macro avg,0.5499434772992046,0.5762890115760799,0.560106761359441,83620.0
weighted avg,0.702678808494429,0.6936378856732839,0.6969872988553057,83620.0
